Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal
08.11.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
07.11.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
06.11.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
05.11.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
04.11.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
01.11.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
31.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
30.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
29.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
28.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
25.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
24.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
22.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,,,,0.0,,Hold
21.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,100.0,,,0.0,,Sell
18.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,100.0,,,0.0,,Sell
17.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,100.0,,,0.0,,Sell
16.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,100.0,,,0.0,,Sell
15.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,100.0,,,0.0,,Sell
14.10.2024,3027.0,3027.0,3027.0,,3027.0,,,,100.0,,,0.0,,Sell
10.10.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,,,0.0,,Sell
09.10.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,,,0.0,,Sell
08.10.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,,,0.0,,Sell
07.10.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,,,0.0,,Sell
04.10.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,,,0.0,,Sell
03.10.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,,,0.0,,Sell
02.10.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
01.10.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
30.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
27.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
26.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
25.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
24.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
23.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
20.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
19.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
18.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
17.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
16.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,,100.0,0.0,,0.0,,Sell
13.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
12.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
11.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
10.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
06.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
05.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
04.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
03.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
02.9.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
30.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
29.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
27.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
26.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
23.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
22.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
21.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
20.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
19.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
16.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
15.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
14.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
13.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
12.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
09.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
08.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
07.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
06.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
05.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
01.8.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
31.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
30.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
29.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
26.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
25.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
24.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
23.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
22.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
19.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
18.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
17.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
16.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
15.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
12.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
11.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
10.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
09.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
08.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
05.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
04.7.2024,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,3027.0,100.0,0.0,,0.0,,Sell
