Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-16
2014-11-17,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-23
2014-11-24,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2014-11-24,2014-11-30
2014-12-01,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2014-12-01,2014-12-07
2014-12-08,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2014-12-08,2014-12-14
2014-12-15,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2014-12-15,2014-12-21
2014-12-22,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2014-12-22,2014-12-28
2014-12-29,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2014-12-29,2015-01-04
2015-01-05,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2015-01-05,2015-01-11
2015-01-12,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2015-01-12,2015-01-18
2015-01-19,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2015-01-19,2015-01-25
2015-01-26,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2015-01-26,2015-02-01
2015-02-02,1230.0,1230.0,1230.0,,1230.0,,,,,,,0.0,,Hold,2015-02-02,2015-02-08
2015-02-09,1230.0,1230.0,1230.0,,1230.0,,,,100.0,,,0.0,,Sell,2015-02-09,2015-02-15
2015-02-16,1230.0,1230.0,1230.0,,1230.0,,,,100.0,,,0.0,,Sell,2015-02-16,2015-02-22
2015-02-23,1230.0,1230.0,1230.0,,1230.0,,,,100.0,,,0.0,,Sell,2015-02-23,2015-03-01
2015-03-02,1230.0,1230.0,1230.0,,1230.0,,,,100.0,,,0.0,,Sell,2015-03-02,2015-03-08
2015-03-09,1230.0,1230.0,1230.0,,1230.0,,,,100.0,,,0.0,,Sell,2015-03-09,2015-03-15
2015-03-16,1230.0,1230.0,1230.0,,1230.0,,,,100.0,,,0.0,,Sell,2015-03-16,2015-03-22
2015-03-23,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,,,0.0,,Sell,2015-03-23,2015-03-29
2015-03-30,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,,,0.0,,Sell,2015-03-30,2015-04-05
2015-04-06,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,,,0.0,,Sell,2015-04-06,2015-04-12
2015-04-13,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,,,0.0,,Sell,2015-04-13,2015-04-19
2015-04-20,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,,,0.0,,Sell,2015-04-20,2015-04-26
2015-04-27,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,,,0.0,,Sell,2015-04-27,2015-05-03
2015-05-04,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-05-04,2015-05-10
2015-05-11,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-05-11,2015-05-17
2015-05-18,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-05-18,2015-05-24
2015-05-25,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-05-25,2015-05-31
2015-06-01,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-06-01,2015-06-07
2015-06-08,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-06-08,2015-06-14
2015-06-15,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-06-15,2015-06-21
2015-06-22,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-06-22,2015-06-28
2015-06-29,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-06-29,2015-07-05
2015-07-06,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-07-06,2015-07-12
2015-07-13,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-07-13,2015-07-19
2015-07-20,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-07-20,2015-07-26
2015-07-27,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,,100.0,0.0,,0.0,,Sell,2015-07-27,2015-08-02
2015-08-03,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,100.0,0.0,,0.0,,Sell,2015-08-03,2015-08-09
2015-08-10,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,100.0,0.0,,0.0,,Sell,2015-08-10,2015-08-16
2015-08-17,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,100.0,0.0,,0.0,,Sell,2015-08-17,2015-08-23
